Workload,Phase,Q4_Combined_Mean,Q8_Combined_Mean,Delta_Combined_pct,Q4_CPU_Mean,Q8_CPU_Mean,Q4_GPU_Res,Q8_GPU_Res,Q4_GPU_Freq,Q8_GPU_Freq,Q4_pct444,Q8_pct444,Delta_444_pp,Q4_pctGT800,Q8_pctGT800,Q4_SW_P1,Q8_SW_P1
Text-Only,Vision Encoding,1842.7548906789414,2106.5952347970633,14.317712325859745,1594.211737629459,1704.5319296301427,28.93814384349827,24.935697465022855,469.456423871638,473.5432338653713,80.49174650813806,77.7793199167245,-2.7124265914135606,0.6348839893801224,0.7633587786259541,94.52896292004634,96.53859260285358
Text-Only,Text Generation,1617.8941580756014,1697.0902844054208,4.895012812458566,1590.5460481099656,1569.4256537507158,6.275972508591066,8.402405039129604,455.2690582959641,451.7027162977867,91.4237668161435,93.38531187122736,1.9615450550838602,0.5605381165919282,0.2766599597585513,97.18251121076231,87.21116625310175
Vision+Text,Vision Encoding,1758.871860126917,1785.239164821259,1.4991032201993049,1499.7384650978317,1403.3708038946888,30.720899986779482,25.48390453091497,473.134179810204,474.8936155252426,74.71811658896273,73.52693010828294,-1.1911864806797894,0.3571074298184704,0.36914639291238927,93.10828345361848,96.28121902351576
Vision+Text,Text Generation,3158.2916710651325,3222.7438492619112,2.0407291317410925,3147.5846088884196,3064.463455614674,7.921700622822758,6.597755730687681,453.77348619768475,454.05889246996776,86.16429207479965,85.53848729647147,-0.6258047783281739,0.06678539626001781,0.06697082583399606,97.20431044078362,96.44755370644478
Video (5fr),Vision Encoding,1377.9665867009503,1518.5089776087875,10.19925971095683,1112.7330647192143,1140.3543288671615,31.350901403597135,26.696337286498885,489.29507272522267,488.81209102230275,68.86644160426602,69.18298803728442,0.31654643301840224,0.6519734965809528,0.7283293709196573,89.30868529958616,94.51432569859377
Video (5fr),Text Generation,1528.4630458465133,1591.6013164165415,4.130833960402369,1501.8269435220307,1468.6145705011195,6.101300975206395,6.7358705523734175,452.17985366683683,461.22034434664386,93.3129147524247,87.12978047608443,-6.183134276340269,0.1890609343391375,0.15119372721838703,97.95690405052758,86.6786603843145
